Store,Start,End,Status,Error
2006,2026-06-29,2026-07-15,success,
2016,2026-06-29,2026-07-15,success,
2017,2026-06-29,2026-07-15,success,
2020,2026-06-29,2026-07-15,success,
2023,2026-06-29,2026-07-15,success,
2024,2026-06-29,2026-07-15,success,
2047,2026-06-29,2026-07-15,success,
4003,2026-06-29,2026-07-15,success,
4004,2026-06-29,2026-07-15,success,
4005,2026-06-29,2026-07-15,success,
4008,2026-06-29,2026-07-15,success,
4009,2026-06-29,2026-07-15,success,
4010,2026-06-29,2026-07-15,success,
4015,2026-06-29,2026-07-15,success,
4021,2026-06-29,2026-07-15,success,
4025,2026-06-29,2026-07-15,success,
4027,2026-06-29,2026-07-15,success,
4034,2026-06-29,2026-07-15,success,
4036,2026-06-29,2026-07-15,success,
4042,2026-06-29,2026-07-15,success,
4052,2026-06-29,2026-07-15,success,
4061,2026-06-29,2026-07-15,success,
4074,2026-06-29,2026-07-15,success,
5042,2026-06-29,2026-07-15,success,
5043,2026-06-29,2026-07-15,success,
5049,2026-06-29,2026-07-15,success,
5051,2026-06-29,2026-07-15,success,
5057,2026-06-29,2026-07-15,success,
5059,2026-06-29,2026-07-15,success,
5062,2026-06-29,2026-07-15,success,
5101,2026-06-29,2026-07-15,success,
5112,2026-06-29,2026-07-15,success,
5127,2026-06-29,2026-07-15,success,
6021,2026-06-29,2026-07-15,success,
6026,2026-06-29,2026-07-15,success,
6032,2026-06-29,2026-07-15,success,
6037,2026-06-29,2026-07-15,success,
6039,2026-06-29,2026-07-15,success,
6044,2026-06-29,2026-07-15,success,
6065,2026-06-29,2026-07-15,success,
6067,2026-06-29,2026-07-15,success,
6072,2026-06-29,2026-07-15,success,
6074,2026-06-29,2026-07-15,success,
6076,2026-06-29,2026-07-15,success,
6083,2026-06-29,2026-07-15,success,
6088,2026-06-29,2026-07-15,success,
6093,2026-06-29,2026-07-15,success,
6094,2026-06-29,2026-07-15,success,
6102,2026-06-29,2026-07-15,success,
7024,2026-06-29,2026-07-15,success,
7032,2026-06-29,2026-07-15,success,
7039,2026-06-29,2026-07-15,success,
7049,2026-06-29,2026-07-15,success,
7066,2026-06-29,2026-07-15,success,
13026,2026-06-29,2026-07-15,success,
13062,2026-06-29,2026-07-15,success,
13082,2026-06-29,2026-07-15,success,
13106,2026-06-29,2026-07-15,success,
13116,2026-06-29,2026-07-15,success,
13138,2026-06-29,2026-07-15,success,
13148,2026-06-29,2026-07-15,success,
13160,2026-06-29,2026-07-15,success,
13162,2026-06-29,2026-07-15,success,
13219,2026-06-29,2026-07-15,success,
37001,2026-06-29,2026-07-15,success,
37002,2026-06-29,2026-07-15,success,
37004,2026-06-29,2026-07-15,success,
37006,2026-06-29,2026-07-15,success,
37007,2026-06-29,2026-07-15,success,
37009,2026-06-29,2026-07-15,success,
37010,2026-06-29,2026-07-15,success,
37013,2026-06-29,2026-07-15,success,
37014,2026-06-29,2026-07-15,success,
37016,2026-06-29,2026-07-15,success,
37020,2026-06-29,2026-07-15,success,
49001,2026-06-29,2026-07-15,success,
49002,2026-06-29,2026-07-15,success,
49003,2026-06-29,2026-07-15,success,
49004,2026-06-29,2026-07-15,success,
49005,2026-06-29,2026-07-15,success,
49006,2026-06-29,2026-07-15,success,
49007,2026-06-29,2026-07-15,success,
49008,2026-06-29,2026-07-15,success,
49009,2026-06-29,2026-07-15,success,
49010,2026-06-29,2026-07-15,success,
49011,2026-06-29,2026-07-15,success,
